School,ID,Address,City_State_Zip,Grades,Level,Neighborhood,Capacity,Utilization (5 year avg),Building_Exp,Enrollment,Asian,Black,Hispanic,MultiRacial,Native_American,Pacific_Islander,White,AA_K1,AA_K2,Pct_Neighborhood,Pct_Walkzone,K1_First_Choice,K1_Top_3,K2_First_Choice,K2_Top_3,Private_Dollar_per_Student,Pct_Econ_Disadv,Opp_Index,MCAS_Tier
Mendell Elementary School,4370,164 School St,"Roxbury, MA 02119",K0-6,Elementary,Roxbury,185,164%,0,312,3.53%,25.96%,37.82%,7.37%,0.32%,0.00%,25.00%,0%,0%,56.96%,65.05%,81.98%,93.32%,74.05%,96.67%,$250 ,34,0.479,4
Mildred Avenue K-8 School,4671,5 Mildred Ave,"Mattapan, MA 02126",K0-8,Elementary,Mattapan,734,83%,2,560,1.61%,55.18%,37.50%,3.57%,0.71%,0.00%,1.43%,0%,0%,59.24%,62.32%,58.68%,87.47%,62.16%,76.91%,$175 ,67,0.547,4
Mozart Elementary School,4082,236 Beech St,"Roslindale, MA 02131",K0-6,Elementary,Roslindale,130,127%,0,155,4.52%,24.52%,20.00%,8.39%,0.00%,0.00%,42.58%,0%,0%,62.09%,57.52%,72.97%,89.20%,78.33%,85.00%,$37 ,33,0.252,2
Murphy K-8 School,4400,1 Worrell St,"Dorchester, MA 02122",K0-8,Elementary,Dorchester,928,92%,4,835,47.31%,20.12%,17.96%,3.23%,0.12%,0.24%,11.02%,0%,0%,76.63%,57.95%,92.92%,95.00%,89.59%,94.18%,$17 ,46,0.416,1
O'Donnell Elementary School,4543,33 Trenton St,"East Boston, MA 02128",K1-6,Elementary,East Boston,174,153%,3,251,2.79%,1.99%,88.05%,0.80%,0.00%,0.00%,5.98%,0%,0%,96.77%,87.10%,76.67%,93.33%,77.97%,93.73%,$37 ,57,0.454,3
Orchard Gardens K-8 School,4680,906 Albany St,"Roxbury, MA 02119",K0-8,Elementary,Roxbury,944,76%,4,720,1.39%,54.58%,38.61%,2.22%,0.14%,0.42%,2.50%,1%,1%,46.82%,55.02%,70.57%,84.97%,53.79%,66.68%,$213 ,64,0.647,2
Otis Elementary School,4322,218 Marion St,"East Boston, MA 02128",K1-6,Elementary,East Boston,333,124%,0,417,1.92%,1.92%,70.50%,3.60%,0.00%,0.00%,21.82%,0%,0%,99.76%,87.47%,87.41%,99.12%,76.20%,82.93%,$348 ,52,0.419,1
Perkins Elementary School,4022,50 Rev Burke St,"South Boston, MA 02127",K0-6,Elementary,South Boston,204,83%,1,202,3.47%,32.67%,47.52%,3.96%,0.00%,0.00%,12.38%,0%,3%,34.52%,37.06%,,,48.55%,76.26%,$77 ,80,0.655,4
Perry Elementary School,4592,745 E Seventh St,"South Boston, MA 02127",K0-6,Elementary,South Boston,169,118%,2,233,5.58%,8.58%,20.60%,3.86%,0.00%,0.00%,61.37%,0%,0%,71.62%,55.46%,88.78%,92.72%,54.17%,54.17%,$169 ,47,0.402,3
Quincy Elementary School,4650,885 Washington St,"South End, MA 02111",K0-5,Elementary,Downtown,785,94%,3,721,47.71%,12.34%,10.26%,8.32%,0.00%,0.14%,21.22%,0%,0%,31.05%,60.42%,89.27%,97.42%,72.07%,78.16%,$359 ,52,0.538,1
Roosevelt K-8 School (K1-1),4193,30 Millstone Rd,"Hyde Park, MA 02136",K0-1,Elementary,Hyde Park,94,119%,3,112,8.04%,32.14%,35.71%,3.57%,0.00%,0.00%,20.54%,1%,0%,94.64%,47.32%,64.11%,86.89%,72.21%,76.55%,$182 ,43,0.354,1
Russell Elementary School,4530,750 Columbia Rd,"Dorchester, MA 02125",K0-5,Elementary,Dorchester,415,86%,1,336,2.68%,31.25%,58.33%,2.08%,0.00%,0.60%,5.06%,0%,0%,44.82%,65.55%,61.84%,88.64%,57.87%,79.25%,$201 ,64,0.592,3
Shaw-Taylor Elementary (K1-1),4670,429 Norfolk St,"Dorchester, MA 02124",K1-1,Elementary,Dorchester,219,84%,1,170,1.76%,57.06%,36.47%,1.76%,0.00%,0.59%,1.76%,0%,2%,63.25%,71.69%,43.68%,68.28%,48.75%,67.92%,($4),66,0.559,2
Tobin K-8 School,4570,40 Smith St,"Roxbury, MA 02120",K0-8,Elementary,Mission Hill /Jamaica Plain,405,96%,2,354,5.65%,25.99%,61.02%,1.98%,0.00%,0.00%,5.08%,0%,1%,30.50%,61.58%,61.01%,73.18%,57.67%,78.89%,$10 ,78,0.694,3
Trotter Elementary School,4580,135 Humboldt Ave,"Dorchester, MA 02121",K0-6,Elementary,Roxbury,577,58%,3,364,1.10%,48.63%,42.03%,6.04%,0.27%,0.27%,1.65%,1%,0%,68.35%,66.11%,53.62%,75.23%,60.68%,78.91%,$103 ,79,0.744,4
Tynan Elementary School,4590,650 E Fourth St,"South Boston, MA 02127",K0-6,Elementary,South Boston,297,72%,3,221,4.98%,33.03%,40.27%,7.24%,0.00%,0.45%,13.57%,0%,7%,27.27%,23.18%,66.26%,86.25%,37.87%,77.43%,$75 ,75,0.551,4
UP Academy Dorchester,4345,35 Westville St 02124,"Dorchester, MA 02121",K1-8,Elementary,Dorchester,743,84%,3,650,2.15%,50.15%,44.00%,2.62%,0.15%,0.00%,0.92%,0%,0%,32.87%,47.98%,65.09%,82.65%,31.93%,43.47%,$0 ,63.9,0.575,2.25
UP Academy Holland,4250,85 Olney St,"Dorchester, MA 02121",K1-6,Elementary,Dorchester,627,101%,3,632,1.90%,45.09%,46.52%,3.64%,0.00%,0.16%,2.37%,0%,0%,47.53%,79.43%,69.54%,91.12%,58.49%,75.44%,$0 ,73,0.646,4
Warren-Prescott K-8 School,4283,50 School St,"Charlestown, MA 02129",K0-8,Elementary,Charlestown,539,97%,1,547,4.02%,9.32%,19.01%,4.39%,0.00%,0.00%,63.25%,0%,0%,82.37%,87.38%,76.41%,95.85%,41.16%,76.38%,$394 ,68,0.388,1
Winship Elementary School,4173,54 Dighton St,"Brighton, MA 02135",K0-6,Elementary,Allston/Brighton,159,208%,1,350,18.57%,11.43%,36.29%,8.00%,0.00%,0.00%,25.71%,3%,0%,97.00%,75.08%,77.53%,94.59%,79.37%,84.76%,$58 ,45,0.373,3
Winthrop Elementary School,4052,35 Brookford St,"Dorchester, MA 02125",K0-6,Elementary,Roxbury,206,116%,2,259,1.54%,44.40%,46.72%,3.86%,0.00%,0.00%,3.47%,2%,5%,64.94%,74.10%,44.95%,74.75%,50.88%,75.73%,$7 ,77,0.703,4
Young Achievers K-8 School,4600,20 Outlook Rd,"Mattapan, MA 02126",K0-8,Elementary,Mattapan,470,105%,1,432,0.00%,47.22%,49.77%,0.93%,0.93%,0.46%,0.69%,0%,1%,53.18%,48.94%,64.15%,82.11%,60.71%,81.39%,$55 ,67,0.573,4
